　,PU,*,*,　
薄弱,VA,*,*,薄弱
保,NN,*,*,保
保,NR,LOC,*,保
保,VV,*,*,保
保·奥夫内尔,NR,PER,FOR,保·奥夫内尔
保安,NN,*,*,保安
保持,VV,*,*,保持
保存,NN,*,*,保存
保存,VV,*,*,保存
保存法,NN,*,*,保存法
保定,NR,LOC,*,保定
保额,NN,*,*,保额
保肝,JJ,*,*,保肝
保管,VV,*,*,保管
保护,NN,*,*,保护
保护,VV,*,*,保护
保护法,NN,*,*,保护法
保护价,NN,*,*,保护价
保护器,NN,*,*,保护器
保护气,NN,*,*,保护气
保护区,NN,*,*,保护区
保加利亚,NR,LOC,*,保加利亚
保荐人,NN,*,*,保荐人
保健,NN,*,*,保健
保健品,NN,*,*,保健品
保洁,VV,*,*,保洁
保垒,NN,*,*,保垒
保留,JJ,*,*,保留
保留,NN,*,*,保留
保留,VA,*,*,保留
保留,VV,*,*,保留
保罗·因斯,NR,PER,FOR,保罗·因斯
保密,NN,*,*,保密
保密,VV,*,*,保密
保姆,NN,*,*,保姆
保母,NN,*,*,保母
保暖,VV,*,*,保暖
保全,NN,*,*,保全
保湿,NN,*,*,保湿
保守,AD,*,*,保守
保守,JJ,*,*,保守
保守,VA,*,*,保守
保税,JJ,*,*,保税
保税区,NN,*,*,保税区
保泰,NR,LOC,*,保泰
保通社,NR,ORG,*,保通社
保外就医,VV,*,*,保外就医
保卫,VV,*,*,保卫
保卫战,NN,*,*,保卫战
保温,VV,*,*,保温
保温箱,NN,*,*,保温箱
保鲜藕,NN,*,*,保鲜藕
保险,NN,*,*,保险
保险,VA,*,*,保险
保险界,NN,*,*,保险界
保险金,NN,*,*,保险金
保险史,NN,*,*,保险史
保险业,NN,*,*,保险业
保欣,NR,PER,GIV,保欣
保养,NN,*,*,保养
保养,VV,*,*,保养
保养品,NN,*,*,保养品
保养族,NN,*,*,保养族
保有,VV,*,*,保有
保佑,VV,*,*,保佑
保育,NN,*,*,保育
保育类,JJ,*,*,保育类
保育类,NN,*,*,保育类
保障,NN,*,*,保障
保障,VV,*,*,保障
保障额,NN,*,*,保障额
保障法,NN,*,*,保障法
保障局,NN,*,*,保障局
保障线,NN,*,*,保障线
保真,NN,*,*,保真
保证,NN,*,*,保证
保证,VV,*,*,保证
保证金,NN,*,*,保证金
保值,JJ,*,*,保值
保值,NN,*,*,保值
保值,VV,*,*,保值
保住,VV,*,*,保住
堡垒,NN,*,*,堡垒
饱,AD,*,*,饱
饱和,VA,*,*,饱和
饱和度,NN,*,*,饱和度
饱满,VA,*,*,饱满
饱受,VV,*,*,饱受
宝,NN,*,*,宝
宝宝,NN,*,*,宝宝
宝藏,NN,*,*,宝藏
宝成,NR,ORG,*,宝成
宝岛,NN,*,*,宝岛
宝地,NN,*,*,宝地
宝法德,NR,ORG,*,宝法德
宝芳,NR,PER,GIV,宝芳
宝府,NN,*,*,宝府
宝钢,NN,*,*,宝钢
宝贵,VA,*,*,宝贵
宝红,NR,PER,GIV,宝红
宝俊,NR,PER,GIV,宝俊
宝库,NN,*,*,宝库
宝匡,NR,PER,GIV,宝匡
宝里,NR,PER,GIV,宝里
宝里宝气,VA,*,*,宝里宝气
宝琳,NR,PER,GIV,宝琳
宝清,NR,PER,GIV,宝清
宝日希勒,NR,LOC,*,宝日希勒
宝山,NN,*,*,宝山
宝山,NR,LOC,*,宝山
宝石,NN,*,*,宝石
宝塔,NN,*,*,宝塔
宝惜,VV,*,*,宝惜
宝应县,NR,LOC,*,宝应县
宝忠,NR,PER,GIV,宝忠
宝座,NN,*,*,宝座
抱,VV,*,*,抱
抱持,VV,*,*,抱持
抱有,VV,*,*,抱有
抱怨,VV,*,*,抱怨
抱住,VV,*,*,抱住
报,NN,*,*,报
报,VV,*,*,报
报表,NN,*,*,报表
报酬,NN,*,*,报酬
报酬率,NN,*,*,报酬率
报仇,VV,*,*,报仇
报导,NN,*,*,报导
报导,VV,*,*,报导
报到,VV,*,*,报到
报道,NN,*,*,报道
报道,VV,*,*,报道
报端,NN,*,*,报端
报复,NN,*,*,报复
报复,VV,*,*,报复
报复性,JJ,*,*,报复性
报告,NN,*,*,报告
报告,VV,*,*,报告
报告会,NN,*,*,报告会
报告书,NN,*,*,报告书
报关,NN,*,*,报关
报关单,NN,*,*,报关单
报国,NN,*,*,报国
报价,NN,*,*,报价
报经,VV,*,*,报经
报刊,NN,*,*,报刊
报考,VV,*,*,报考
报名,NN,*,*,报名
报名,VV,*,*,报名
报社,NN,*,*,报社
报收,VV,*,*,报收
报收于,VV,*,*,报收于
报摊,NN,*,*,报摊
报喜,VV,*,*,报喜
报销,NN,*,*,报销
报效,VV,*,*,报效
报以,VV,*,*,报以
报忧,VV,*,*,报忧
报章,NN,*,*,报章
报纸,NN,*,*,报纸
暴,JJ,*,*,暴
暴跌,VV,*,*,暴跌
暴力,NN,*,*,暴力
暴两,NN,*,*,暴两
暴露,VV,*,*,暴露
暴乱,NN,*,*,暴乱
暴行,NN,*,*,暴行
暴牙,NN,*,*,暴牙
暴牙,VV,*,*,暴牙
暴雨,NN,*,*,暴雨
暴增,VV,*,*,暴增
暴政,NN,*,*,暴政
豹,NN,*,*,豹
鲍,NR,PER,FAM,鲍
鲍·利佐,NR,PER,FOR,鲍·利佐
鲍恩,NR,PER,FOR,鲍恩
鲍萨,NR,PER,FOR,鲍萨
鲍威尔,NR,PER,FOR,鲍威尔
爆,VV,*,*,爆
爆出,VV,*,*,爆出
爆出冷门,VV,*,*,爆出冷门
爆发,VV,*,*,爆发
爆满,VA,*,*,爆满
爆满,VV,*,*,爆满
爆炸,NN,*,*,爆炸
爆炸,VV,*,*,爆炸
爆炸性,JJ,*,*,爆炸性
爆竹,NN,*,*,爆竹
杯,M,*,*,杯
杯,NN,*,*,杯
杯葛,VV,*,*,杯葛
杯盘,NN,*,*,杯盘
杯水车薪,NN,*,*,杯水车薪
杯子,NN,*,*,杯子
碑,NN,*,*,碑
碑记,NN,*,*,碑记
碑学,NN,*,*,碑学
悲,NN,*,*,悲
悲,VV,*,*,悲
悲哀,NN,*,*,悲哀
悲哀,VA,*,*,悲哀
悲愁,NN,*,*,悲愁
悲调,NN,*,*,悲调
悲观,NN,*,*,悲观
悲欢离合,VV,*,*,悲欢离合
悲剧,NN,*,*,悲剧
悲剧性,NN,*,*,悲剧性
悲苦,NN,*,*,悲苦
悲苦,VA,*,*,悲苦
悲悯,NN,*,*,悲悯
悲情,NN,*,*,悲情
悲伤,NN,*,*,悲伤
悲伤,VV,*,*,悲伤
悲痛,NN,*,*,悲痛
悲喜,NN,*,*,悲喜
卑南,NR,LOC,*,卑南
卑微,VA,*,*,卑微
北,NN,*,*,北
北,NR,LOC,*,北
北,NR,LOC,SP,北
北爱,NR,LOC,*,北爱
北爱尔兰,NR,LOC,*,北爱尔兰
北岸,NN,*,*,北岸
北碑,NN,*,*,北碑
北部,NN,*,*,北部
北部湾,NR,LOC,*,北部湾
北大,NR,ORG,*,北大
北大湖,NR,LOC,*,北大湖
北段,NN,*,*,北段
北二高,NR,LOC,*,北二高
北方,NN,*,*,北方
北港池,NR,LOC,*,北港池
北管,NN,*,*,北管
北海,NR,LOC,*,北海
北海道,NR,LOC,*,北海道
北海港,NR,LOC,*,北海港
北海市,NR,LOC,*,北海市
北疆,NN,*,*,北疆
北角,NR,LOC,*,北角
北京,NR,LOC,*,北京
北京城,NR,LOC,*,北京城
北京队,NR,OTH,*,北京队
北京腔,NN,*,*,北京腔
北京市,NR,LOC,*,北京市
北龙,NR,ORG,*,北龙
北路,NN,*,*,北路
北仑,NR,LOC,*,北仑
北仑港,NR,LOC,*,北仑港
北仑区,NR,LOC,*,北仑区
北美,NR,LOC,*,北美
北美洲,NR,LOC,*,北美洲
北面,NN,*,*,北面
北欧,NR,LOC,*,北欧
北票,NR,LOC,*,北票
北票市,NR,LOC,*,北票市
北平,NR,LOC,*,北平
北埔,NR,LOC,*,北埔
北埔街,NR,LOC,*,北埔街
北埔人,NN,*,*,北埔人
北上,VV,*,*,北上
北势溪,NR,LOC,*,北势溪
北市,NR,LOC,*,北市
北投,NR,LOC,*,北投
北县,NR,LOC,*,北县
北线,NN,*,*,北线
北向,NN,*,*,北向
北叶,NR,LOC,*,北叶
北一女中,NR,ORG,*,北一女中
北宜,NR,LOC,*,北宜
北宜高,NR,LOC,*,北宜高
北约,NR,ORG,*,北约
北站,NN,*,*,北站
北政,NR,ORG,*,北政
辈,M,*,*,辈
辈,NN,*,*,辈
辈分,NN,*,*,辈分
辈子,NN,*,*,辈子
背,NN,*,*,背
背,VV,*,*,背
背部,NN,*,*,背部
背负,VV,*,*,背负
背后,NN,*,*,背后
背景,NN,*,*,背景
背离,VV,*,*,背离
背面,NN,*,*,背面
背弃,VV,*,*,背弃
背山,VV,*,*,背山
背书,NN,*,*,背书
背书,VV,*,*,背书
背後,NN,*,*,背後
贝,NN,*,*,贝
贝,NR,PER,FAM,贝
贝贝,NR,PER,GIV,贝贝
贝雕,NN,*,*,贝雕
贝尔,NR,ORG,*,贝尔
贝尔格莱德,NR,LOC,*,贝尔格莱德
贝格尔舰,NR,OTH,*,贝格尔舰
贝壳砂,NN,*,*,贝壳砂
贝壳珠,NN,*,*,贝壳珠
贝克尔,NR,PER,FOR,贝克尔
贝类,NN,*,*,贝类
贝理雅,NR,PER,FOR,贝理雅
贝里琉,NR,LOC,*,贝里琉
贝里斯,NR,LOC,*,贝里斯
贝桑,NR,LOC,*,贝桑
贝殷思,NR,PER,FOR,贝殷思
倍,M,*,*,倍
倍感,VV,*,*,倍感
倍受,VV,*,*,倍受
倍数,NN,*,*,倍数
倍顺,NR,ORG,*,倍顺
倍增,VV,*,*,倍增
备,AD,*,*,备
备案,NN,*,*,备案
备案,VV,*,*,备案
备课,VV,*,*,备课
备受,VV,*,*,备受
备忘录,NN,*,*,备忘录
备雪,JJ,*,*,备雪
备询,NN,*,*,备询
备询,VV,*,*,备询
备有,VV,*,*,备有
备战,NN,*,*,备战
备战,VV,*,*,备战
被,LB,*,*,被
被,SB,*,*,被
被保险人,NN,*,*,被保险人
被动,JJ,*,*,被动
被动,VA,*,*,被动
被告,NN,*,*,被告
被推,NN,*,*,被推
被窝,NN,*,*,被窝
被子,NN,*,*,被子
奔,VV,*,*,奔
奔波,VV,*,*,奔波
奔驰,NR,ORG,*,奔驰
奔驰,VV,*,*,奔驰
奔放,VA,*,*,奔放
奔放,VV,*,*,奔放
奔赴,VV,*,*,奔赴
奔鹿纹瓦当,NN,*,*,奔鹿纹瓦当
奔跑,VV,*,*,奔跑
奔逃,VV,*,*,奔逃
奔腾,NN,*,*,奔腾
奔腾,VV,*,*,奔腾
奔走,NN,*,*,奔走
奔走,VV,*,*,奔走
本,AD,*,*,本
本,DT,*,*,本
本,M,*,*,本
本,NN,*,*,本
本,VV,*,*,本
本部,NN,*,*,本部
本草,NN,*,*,本草
本草经,NN,*,*,本草经
本初,NN,*,*,本初
本岛,NN,*,*,本岛
本地,NN,*,*,本地
本地化,NN,*,*,本地化
本地化,VV,*,*,本地化
本地人,NN,*,*,本地人
本地网,NN,*,*,本地网
本籍,NN,*,*,本籍
本金,NN,*,*,本金
本科,NN,*,*,本科
本科生,NN,*,*,本科生
本来,AD,*,*,本来
本领,NN,*,*,本领
本梦比,NN,*,*,本梦比
本名,NN,*,*,本名
本尼·威迪奥诺,NR,PER,FOR,本尼·威迪奥诺
本钱,NN,*,*,本钱
本人,PN,*,*,本人
本色,NN,*,*,本色
本身,PN,*,*,本身
本省,JJ,*,*,本省
本省人,NN,*,*,本省人
本事,NN,*,*,本事
本特·马尔廷森,NR,PER,FOR,本特·马尔廷森
本土,NN,*,*,本土
本位,NN,*,*,本位
本息,NN,*,*,本息
本刑,NN,*,*,本刑
本行,NN,*,*,本行
本性,NN,*,*,本性
本业,NN,*,*,本业
本益比,NN,*,*,本益比
本营,NN,*,*,本营
本质,NN,*,*,本质
本著,P,*,*,本著
本着,P,*,*,本着
本着,VV,*,*,本着
笨蛋,NN,*,*,笨蛋
笨拙,VA,*,*,笨拙
崩,VV,*,*,崩
崩解,VV,*,*,崩解
崩溃,NN,*,*,崩溃
崩盘,NN,*,*,崩盘
崩蚀,NN,*,*,崩蚀
崩塌地,NN,*,*,崩塌地
崩塌面,NN,*,*,崩塌面
蹦蹦跳跳,VV,*,*,蹦蹦跳跳
迸发,VV,*,*,迸发
逼,VV,*,*,逼
逼得,VV,*,*,逼得
逼近,VV,*,*,逼近
逼迫,VV,*,*,逼迫
逼退,VV,*,*,逼退
逼真,VA,*,*,逼真
鼻,NN,*,*,鼻
鼻笛,NN,*,*,鼻笛
鼻孔,NN,*,*,鼻孔
鼻腔,NN,*,*,鼻腔
鼻涕,NN,*,*,鼻涕
鼻子,NN,*,*,鼻子
比,CC,*,*,比
比,NN,*,*,比
比,NR,LOC,*,比
比,P,*,*,比
比,VV,*,*,比
比出,VV,*,*,比出
比达,NR,PER,GIV,比达
比对,NN,*,*,比对
比对,VV,*,*,比对
比尔,NR,PER,FOR,比尔
比尔盖兹,NR,PER,FOR,比尔盖兹
比分,NN,*,*,比分
比价,NN,*,*,比价
比价,VV,*,*,比价
比较,AD,*,*,比较
比较,NN,*,*,比较
比较,P,*,*,比较
比较,VV,*,*,比较
比来比去,VV,*,*,比来比去
比莉,NR,PER,OTH,比莉
比利时,NR,LOC,*,比利时
比利亚塞尼奥尔,NR,PER,FOR,比利亚塞尼奥尔
比例,NN,*,*,比例
比邻,NN,*,*,比邻
比邻,VV,*,*,比邻
比率,NN,*,*,比率
比美,VV,*,*,比美
比内夫,NR,PER,FOR,比内夫
比拟,VV,*,*,比拟
比起,P,*,*,比起
比如,AD,*,*,比如
比萨,NN,*,*,比萨
比塞塔,NN,*,*,比塞塔
比赛,NN,*,*,比赛
比赛,VV,*,*,比赛
比赛场,NN,*,*,比赛场
比什凯克,NR,LOC,*,比什凯克
比手画脚,VV,*,*,比手画脚
比索,NN,*,*,比索
比耶省,NR,LOC,*,比耶省
比喻,NN,*,*,比喻
比喻,VV,*,*,比喻
比照,AD,*,*,比照
比照,P,*,*,比照
比照,VV,*,*,比照
比重,NN,*,*,比重
鄙俗,VA,*,*,鄙俗
笔,M,*,*,笔
笔,NN,*,*,笔
笔锋,NN,*,*,笔锋
笔画,NN,*,*,笔画
笔趣,NN,*,*,笔趣
笔挺,VA,*,*,笔挺
笔意,NN,*,*,笔意
笔者,NN,*,*,笔者
笔直,VA,*,*,笔直
彼岸,NN,*,*,彼岸
彼此,PN,*,*,彼此
碧,JJ,*,*,碧
碧波,NN,*,*,碧波
碧波荡漾,VV,*,*,碧波荡漾
碧华,NR,PER,GIV,碧华
碧莉丝,NR,OTH,*,碧莉丝
碧绿,NN,*,*,碧绿
碧瑟,NR,PER,GIV,碧瑟
碧云,NR,PER,GIV,碧云
毕,NR,PER,FAM,毕
毕竟,AD,*,*,毕竟
毕生,AD,*,*,毕生
毕业,NN,*,*,毕业
毕业,VV,*,*,毕业
毕业生,NN,*,*,毕业生
毕业于,VV,*,*,毕业于
毕业自,VV,*,*,毕业自
毕业於,VV,*,*,毕业於
币,NN,*,*,币
币值,NN,*,*,币值
币种,NN,*,*,币种
庇护,VV,*,*,庇护
庇荫,NN,*,*,庇荫
庇佑,NN,*,*,庇佑
庇佑,VV,*,*,庇佑
闭,VV,*,*,闭
闭会,VV,*,*,闭会
闭口,VV,*,*,闭口
闭门,VV,*,*,闭门
闭幕,NN,*,*,闭幕
闭幕,VV,*,*,闭幕
闭幕会,NN,*,*,闭幕会
闭幕式,NN,*,*,闭幕式
闭塞,VA,*,*,闭塞
闭市,NN,*,*,闭市
弊,NN,*,*,弊
弊案,NN,*,*,弊案
弊端,NN,*,*,弊端
弊害,NN,*,*,弊害
必,AD,*,*,必
必,NR,PER,GIV,必
必,VV,*,*,必
必备,JJ,*,*,必备
必备,VV,*,*,必备
必备品,NN,*,*,必备品
必纯士,NR,ORG,*,必纯士
必定,AD,*,*,必定
必然,AD,*,*,必然
必然,JJ,*,*,必然
必然,NN,*,*,必然
必然,VA,*,*,必然
必荣,NR,PER,GIV,必荣
必胜,NR,PER,GIV,必胜
必修,JJ,*,*,必修
必需,VA,*,*,必需
必需,VV,*,*,必需
必需品,NN,*,*,必需品
必须,AD,*,*,必须
必须,NN,*,*,必须
必须,VA,*,*,必须
必须,VV,*,*,必须
必要,JJ,*,*,必要
必要,NN,*,*,必要
必要,VA,*,*,必要
必要,VV,*,*,必要
必要性,NN,*,*,必要性
辟,VV,*,*,辟
辟建,VV,*,*,辟建
辟为,VV,*,*,辟为
壁,NN,*,*,壁
壁垒,NN,*,*,壁垒
壁饰,NN,*,*,壁饰
壁毯,NN,*,*,壁毯
避,VV,*,*,避
避风,VV,*,*,避风
避风点,NN,*,*,避风点
避风港,NN,*,*,避风港
避开,VV,*,*,避开
避免,VV,*,*,避免
避难所,NN,*,*,避难所
避险,JJ,*,*,避险
避之唯恐不及,VV,*,*,避之唯恐不及
避之惟恐不及,VV,*,*,避之惟恐不及
鞭,NN,*,*,鞭
鞭辟入里,VV,*,*,鞭辟入里
鞭策,VV,*,*,鞭策
边,AD,*,*,边
边,LC,*,*,边
边,M,*,*,边
边,NN,*,*,边
边防,NN,*,*,边防
边防军,NN,*,*,边防军
边际,JJ,*,*,边际
边检,NN,*,*,边检
边界,NN,*,*,边界
边境,NN,*,*,边境
边境线,NN,*,*,边境线
边款,NN,*,*,边款
边贸,JJ,*,*,边贸
边贸,NN,*,*,边贸
边坡,NN,*,*,边坡
边区,NN,*,*,边区
边上,LC,*,*,边上
边缘,NN,*,*,边缘
边远,JJ,*,*,边远
边陲,NN,*,*,边陲
编,NN,*,*,编
编,VV,*,*,编
编成,NN,*,*,编成
编导,NN,*,*,编导
编号,NN,*,*,编号
编辑,NN,*,*,编辑
编辑,VV,*,*,编辑
编辑部,NN,*,*,编辑部
编剧,NN,*,*,编剧
编列,VV,*,*,编列
编码法,NN,*,*,编码法
编排,NN,*,*,编排
编派,VV,*,*,编派
编配,VV,*,*,编配
编写,VV,*,*,编写
编印,VV,*,*,编印
编造,VV,*,*,编造
编者,NN,*,*,编者
编织,NN,*,*,编织
编织袋,NN,*,*,编织袋
编制,NN,*,*,编制
编制,VV,*,*,编制
编钟,NN,*,*,编钟
编组,NN,*,*,编组
编纂,NN,*,*,编纂
贬,NN,*,*,贬
贬,VV,*,*,贬
贬幅,NN,*,*,贬幅
贬破,VV,*,*,贬破
贬值,NN,*,*,贬值
贬值,VV,*,*,贬值
贬至,VV,*,*,贬至
扁,NR,PER,OTH,扁
扁,VA,*,*,扁
扁柏,NN,*,*,扁柏
扁扁,VA,*,*,扁扁
扁阔,VV,*,*,扁阔
便,AD,*,*,便
便,NN,*,*,便
便,VA,*,*,便
便当,NN,*,*,便当
便捷,JJ,*,*,便捷
便捷,VA,*,*,便捷
便利,NN,*,*,便利
便利,VA,*,*,便利
便民,JJ,*,*,便民
便携式,JJ,*,*,便携式
便宜,AD,*,*,便宜
便宜,NN,*,*,便宜
便宜,VA,*,*,便宜
便宜货,NN,*,*,便宜货
便宜行事,VV,*,*,便宜行事
便于,VV,*,*,便于
变,NN,*,*,变
变,VV,*,*,变
变本加厉,VV,*,*,变本加厉
变差,VV,*,*,变差
变长,VV,*,*,变长
变成,VV,*,*,变成
变得,VV,*,*,变得
变调,VV,*,*,变调
变动,NN,*,*,变动
变动,VV,*,*,变动
变多,VA,*,*,变多
变革,NN,*,*,变革
变革,VV,*,*,变革
变更,NN,*,*,变更
变更,VV,*,*,变更
变好,VV,*,*,变好
变化,NN,*,*,变化
变化,VV,*,*,变化
变化多端,VV,*,*,变化多端
变坏,VV,*,*,变坏
变幻,NN,*,*,变幻
变幻,VV,*,*,变幻
变幻无常,VA,*,*,变幻无常
变局,NN,*,*,变局
变来变去,VV,*,*,变来变去
变脸,VV,*,*,变脸
变慢,VV,*,*,变慢
变貌,NN,*,*,变貌
变迁,NN,*,*,变迁
变迁,VV,*,*,变迁
变强,VV,*,*,变强
变身,VV,*,*,变身
变数,NN,*,*,变数
变为,VV,*,*,变为
变现,VV,*,*,变现
变相,JJ,*,*,变相
变小,VV,*,*,变小
变形,JJ,*,*,变形
变形,NN,*,*,变形
变形,VA,*,*,变形
变形,VV,*,*,变形
变压,JJ,*,*,变压
变压器,NN,*,*,变压器
变压器厂,NN,*,*,变压器厂
变样,VV,*,*,变样
变异,NN,*,*,变异
变窄,VV,*,*,变窄
变种,NN,*,*,变种
辨,VV,*,*,辨
辨识,NN,*,*,辨识
辨识度,NN,*,*,辨识度
辩护,NN,*,*,辩护
辩护,VV,*,*,辩护
辩论,NN,*,*,辩论
辩论,VV,*,*,辩论
遍,M,*,*,遍
遍,VV,*,*,遍
遍布,VV,*,*,遍布
遍地,AD,*,*,遍地
遍及,VV,*,*,遍及
标,NN,*,*,标
标,VV,*,*,标
标榜,VV,*,*,标榜
标本,NN,*,*,标本
标尺,NN,*,*,标尺
标出,VV,*,*,标出
标的,NN,*,*,标的
标段,NN,*,*,标段
标竿,NN,*,*,标竿
标竿,NR,ORG,*,标竿
标号,NN,*,*,标号
标记,NN,*,*,标记
标记,VV,*,*,标记
标价,NN,*,*,标价
标价,VV,*,*,标价
标明,VV,*,*,标明
标签,NN,*,*,标签
标枪,NN,*,*,标枪
标识,VV,*,*,标识
标示,VV,*,*,标示
标题,NN,*,*,标题
标箱,M,*,*,标箱
标箱,NN,*,*,标箱
标有,VV,*,*,标有
标语,NN,*,*,标语
标志,NN,*,*,标志
标志,VV,*,*,标志
标准,NN,*,*,标准
标准,VA,*,*,标准
标准化,NN,*,*,标准化
标准化,VV,*,*,标准化
标准化司,NN,*,*,标准化司
标准煤,NN,*,*,标准煤
标准日,NN,*,*,标准日
标准箱,NN,*,*,标准箱
标准型,JJ,*,*,标准型
彪炳,VV,*,*,彪炳
表,VV,*,*,表
表达,NN,*,*,表达
表达,VV,*,*,表达
表格,NN,*,*,表格
表决,NN,*,*,表决
表决,VV,*,*,表决
表决制,NN,*,*,表决制
表露无遗,VV,*,*,表露无遗
表妹,NN,*,*,表妹
表面,NN,*,*,表面
表面,VA,*,*,表面
表明,VV,*,*,表明
表皮,NN,*,*,表皮
表情,NN,*,*,表情
表示,NN,*,*,表示
表示,VV,*,*,表示
表述,NN,*,*,表述
表述,VV,*,*,表述
表态,VV,*,*,表态
表现,NN,*,*,表现
表现,VV,*,*,表现
表演,NN,*,*,表演
表演,VV,*,*,表演
表彰,NN,*,*,表彰
表彰,VV,*,*,表彰
憋,VV,*,*,憋
别,AD,*,*,别
别,DT,*,*,别
别,NN,*,*,别
别,VV,*,*,别
别的,JJ,*,*,别的
别具,VV,*,*,别具
别具一格,VV,*,*,别具一格
别开生面,VV,*,*,别开生面
别看,AD,*,*,别看
别克,NR,ORG,*,别克
别人,NN,*,*,别人
别墅式,JJ,*,*,别墅式
别有用心,VV,*,*,别有用心
彬,NR,PER,GIV,彬
斌,NR,PER,GIV,斌
斌华,NR,PER,GIV,斌华
濒,VV,*,*,濒
濒临,VV,*,*,濒临
濒危,JJ,*,*,濒危
滨芳,NR,PER,GIV,滨芳
滨海,JJ,*,*,滨海
滨海,NN,*,*,滨海
滨海,NR,LOC,*,滨海
滨海港,NR,LOC,*,滨海港
滨口,NR,PER,FAM,滨口
宾,NN,*,*,宾
宾馆,NN,*,*,宾馆
宾客,NN,*,*,宾客
兵,NN,*,*,兵
兵家必争之地,NN,*,*,兵家必争之地
兵将,NN,*,*,兵将
兵力,NN,*,*,兵力
兵马俑,NN,*,*,兵马俑
兵器,NN,*,*,兵器
兵团,NN,*,*,兵团
兵役,NN,*,*,兵役
兵役法,NN,*,*,兵役法
冰冰,NR,PER,GIV,冰冰
冰层,NN,*,*,冰层
冰岛,NR,LOC,*,冰岛
冰点,NN,*,*,冰点
冰冻,VV,*,*,冰冻
冰冻三尺,NN,*,*,冰冻三尺
冰果,NN,*,*,冰果
冰果店,NN,*,*,冰果店
冰河,NN,*,*,冰河
冰块,NN,*,*,冰块
冰冷,VA,*,*,冰冷
冰山,NN,*,*,冰山
冰糖,NN,*,*,冰糖
冰箱,NN,*,*,冰箱
冰雪,NN,*,*,冰雪
冰镇,JJ,*,*,冰镇
冰淇淋,NN,*,*,冰淇淋
丙,NN,*,*,丙
丙飞,NR,PER,GIV,丙飞
丙肝,NN,*,*,丙肝
丙坤,NR,PER,GIV,丙坤
丙型,JJ,*,*,丙型
秉,VV,*,*,秉
秉承,VV,*,*,秉承
秉持,VV,*,*,秉持
秉刚,NR,PER,GIV,秉刚
秉峄,NR,PER,GIV,秉峄
饼,NN,*,*,饼
饼店,NN,*,*,饼店
饼铺,NN,*,*,饼铺
饼乾,NN,*,*,饼乾
炳川,NR,PER,GIV,炳川
炳南,NR,PER,GIV,炳南
炳强,NR,PER,GIV,炳强
病,JJ,*,*,病
病,NN,*,*,病
病,VA,*,*,病
病变,NN,*,*,病变
病毒,NN,*,*,病毒
病房,NN,*,*,病房
病害,NN,*,*,病害
病号,NN,*,*,病号
病患,NN,*,*,病患
病例,NN,*,*,病例
病情,NN,*,*,病情
病人,NN,*,*,病人
病入膏肓,VV,*,*,病入膏肓
病逝,VV,*,*,病逝
病痛,NN,*,*,病痛
病危,VV,*,*,病危
病原,NN,*,*,病原
病院,NN,*,*,病院
并,AD,*,*,并
并,CC,*,*,并
并,VV,*,*,并
并称,VV,*,*,并称
并呈,VV,*,*,并呈
并存,VV,*,*,并存
并发症,NN,*,*,并发症
并购,NN,*,*,并购
并购,VV,*,*,并购
并举,VV,*,*,并举
并列,VV,*,*,并列
并且,AD,*,*,并且
并且,CC,*,*,并且
并行不悖,VA,*,*,并行不悖
玻尔,NR,PER,FOR,玻尔
玻壳,NN,*,*,玻壳
玻璃,NN,*,*,玻璃
玻璃厂,NN,*,*,玻璃厂
播,VV,*,*,播
播毕,VV,*,*,播毕
播出,NN,*,*,播出
播出,VV,*,*,播出
播放,VV,*,*,播放
播送,VV,*,*,播送
播映,VV,*,*,播映
拨,VV,*,*,拨
拨拨,VV,*,*,拨拨
拨出,VV,*,*,拨出
拨发,VV,*,*,拨发
拨付,NN,*,*,拨付
拨付,VV,*,*,拨付
拨交,VV,*,*,拨交
拨款,NN,*,*,拨款
拨款,VV,*,*,拨款
波,M,*,*,波
波,NN,*,*,波
波,NR,LOC,*,波
波,NR,PER,GIV,波
波波,M,*,*,波波
波动,NN,*,*,波动
波动,VV,*,*,波动
波段,NN,*,*,波段
波多黎各,NR,LOC,*,波多黎各
波恩,NR,PER,FOR,波恩
波尔,NR,PER,FOR,波尔
波黑,NR,LOC,*,波黑
波及,NN,*,*,波及
波及,VV,*,*,波及
波兰,NR,LOC,*,波兰
波澜,NN,*,*,波澜
波澜壮阔,VA,*,*,波澜壮阔
波浪,NN,*,*,波浪
波流,NN,*,*,波流
波罗的海,NR,LOC,*,波罗的海
波士顿,NR,LOC,*,波士顿
波斯猫,NN,*,*,波斯猫
波斯湾,NR,LOC,*,波斯湾
波特,NR,PER,FOR,波特
波提且利,NR,PER,FOR,波提且利
波音,NR,ORG,*,波音
波云诡谲,VV,*,*,波云诡谲
波折,NN,*,*,波折
波折,VV,*,*,波折
博,AD,*,*,博
博,NN,*,*,博
博白,NR,LOC,*,博白
博大,NN,*,*,博大
博得,VV,*,*,博得
博尔格,NR,PER,FOR,博尔格
博格坎普,NR,PER,FOR,博格坎普
博览会,NN,*,*,博览会
博雷加莱斯,NR,PER,FOR,博雷加莱斯
博士,NN,*,*,博士
博士班,NN,*,*,博士班
博士后,NN,*,*,博士后
博士级,JJ,*,*,博士级
博塔福戈队,NR,OTH,*,博塔福戈队
博物馆,NN,*,*,博物馆
博物院,NN,*,*,博物院
博学多闻,VV,*,*,博学多闻
